baseline_n_catchments,baseline_npi_max,baseline_npi_mean,baseline_npi_mean_worst3,baseline_npi_mean_worst5,baseline_npi_mean_worst6,baseline_npi_p90,baseline_solidity_mean,baseline_solidity_mean_best6,baseline_solidity_mean_worst3,baseline_solidity_mean_worst5,baseline_solidity_mean_worst6,baseline_solidity_min,baseline_solidity_p10,delta_npi_max,delta_npi_mean,delta_npi_mean_on_baseline_worst5_sites,delta_npi_mean_on_baseline_worst6_sites,delta_npi_mean_worst3,delta_npi_mean_worst5,delta_npi_mean_worst6,delta_npi_p90,delta_solidity_mean,delta_solidity_mean_best6,delta_solidity_mean_on_baseline_worst5_sites,delta_solidity_mean_on_baseline_worst6_sites,delta_solidity_mean_worst3,delta_solidity_mean_worst5,delta_solidity_mean_worst6,delta_solidity_min,delta_solidity_p10,error,modality,n_sites_used_baseline_worst5_npi,n_sites_used_baseline_worst5_solidity,n_sites_used_baseline_worst6_npi,n_sites_used_baseline_worst6_solidity,pair_id,replay_path,result_json,selected_explored_index,selected_n_catchments,selected_npi_max,selected_npi_mean,selected_npi_mean_worst3,selected_npi_mean_worst5,selected_npi_mean_worst6,selected_npi_p90,selected_solidity_mean,selected_solidity_mean_best6,selected_solidity_mean_worst3,selected_solidity_mean_worst5,selected_solidity_mean_worst6,selected_solidity_min,selected_solidity_p10,selected_source,status
18,1.762597932644546,1.4819638694922024,1.7197107984075715,1.6601891111498304,1.6448829121046888,1.6797562979289367,0.9348161921995799,0.9912821896033351,0.8440423411583159,0.8616848037021502,0.8695534692772736,0.8203950390446676,0.856449048033887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_00,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_00.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_00.json,0,18,1.762597932644546,1.4819638694922024,1.7197107984075715,1.6601891111498304,1.6448829121046888,1.6797562979289367,0.9348161921995799,0.9912821896033351,0.8440423411583159,0.8616848037021502,0.8695534692772736,0.8203950390446676,0.856449048033887,baseline,completed
18,1.8140368558558984,1.5064674642108005,1.754062063101604,1.7076882935422883,1.6878038045589294,1.72388973730976,0.9151345980535142,0.9892655268892439,0.824725691659372,0.8395231179689805,0.848811881527895,0.8111093577403694,0.8352839515349247,-0.08949986559469947,-0.0097182034361325,-0.028300687523742464,-0.023583906269785387,-0.0471678125395707,-0.028300687523742596,-0.023583906269785126,-0.03603264158741526,0.002329658647648669,0.0,0.008980009145456913,0.007483340954547428,0.01042396280131308,0.008980009145456935,0.007483340954547391,0.011049268588375294,0.006655648038791928,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_01,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_01.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_01.json,1,18,1.7245369902611989,1.496749260774668,1.7068942505620333,1.6793876060185458,1.6642198982891443,1.6878570957223447,0.9174642567011628,0.9892655268892439,0.8351496544606851,0.8485031271144374,0.8562952224824424,0.8221586263287447,0.8419395995737167,force_assign,completed
18,1.6407671265060466,1.4840016939891973,1.6246978540500188,1.5980107540382715,1.5853316609450971,1.614400593529603,0.9296483261356348,0.9849402649570451,0.8336841790896651,0.8528218030945018,0.8610168412241377,0.7619329097087987,0.8696464136712565,0.07350122350444388,-0.0028134478927388518,-0.010128412413860621,-0.008440343678217185,0.007912774371464426,-0.0031138476214662703,-0.00378654989960836,-0.03483403027303544,0.0026061646951988093,0.0,0.009382192902715848,0.007818494085596539,-0.005883942184944035,0.001812471787132286,0.003984645913282736,0.0,-0.003094934816918027,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_02,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_02.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_02.json,1,18,1.7142683500104905,1.4811882460964585,1.6326106284214832,1.5948969064168053,1.5815451110454888,1.5795665632565676,0.9322544908308336,0.9849402649570451,0.827800236904721,0.8546342748816341,0.8650014871374204,0.7619329097087987,0.8665514788543385,force_assign,completed
18,2.02620768038638,1.5887196830848347,1.9574187902134927,1.870738425842585,1.843053308379513,1.912560905050324,0.8782808806727562,0.9869700741367181,0.7198157950160837,0.7458134305343121,0.7554908781691613,0.6604938271604035,0.7567434342668783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_03,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_03.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_03.json,2,18,2.02620768038638,1.5887196830848347,1.9574187902134927,1.870738425842585,1.843053308379513,1.912560905050324,0.8782808806727562,0.9869700741367181,0.7198157950160837,0.7458134305343121,0.7554908781691613,0.6604938271604035,0.7567434342668783,resolve,completed
18,2.4773179590799717,1.6173456295807016,2.102193805719532,1.9800066361345727,1.937758496689438,1.9019566094298876,0.8799217619225065,0.9840508115745968,0.6866481100799277,0.727243273408839,0.7432467615046736,0.6407942238265948,0.7112849953162074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_04,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_04.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_04.json,0,18,2.4773179590799717,1.6173456295807016,2.102193805719532,1.9800066361345727,1.937758496689438,1.9019566094298876,0.8799217619225065,0.9840508115745968,0.6866481100799277,0.727243273408839,0.7432467615046736,0.6407942238265948,0.7112849953162074,baseline,completed
18,1.9469008339075693,1.602620934129162,1.900833416707817,1.8647223397095405,1.8335703203148717,1.8739049908474301,0.871772959651478,0.948627972638592,0.7391985542479884,0.7708706713316456,0.7792149992961172,0.7040000000000092,0.7630263112478574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_05,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_05.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_05.json,0,18,1.9469008339075693,1.602620934129162,1.900833416707817,1.8647223397095405,1.8335703203148717,1.8739049908474301,0.871772959651478,0.948627972638592,0.7391985542479884,0.7708706713316456,0.7792149992961172,0.7040000000000092,0.7630263112478574,baseline,completed
18,2.047886251735262,1.5241798586335484,1.9536892107357182,1.8245212241705595,1.7876962950353115,1.8714699072558367,0.9144500701106134,0.9981065728969322,0.7694569533497414,0.8089457566800373,0.8221426355588838,0.6866201086354485,0.8178457055986981,-0.05349360404904191,-0.015481360078444029,-0.06408439371650437,-0.06408439371650437,-0.07070047591700401,-0.056781124732354415,-0.059653319539800354,-0.04758234711059117,0.007629672011435273,-0.005521129758700671,0.021452939550122396,0.021452939550122396,0.029109525624248955,0.021141004599690483,0.01875496638430041,0.06204299296874438,0.017699908732801806,,multimodal,4.0,4.0,4.0,4.0,shape_niceness_med_06,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_06.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_06.json,1,18,1.9943926476862202,1.5086984985551044,1.8829887348187142,1.767740099438205,1.7280429754955111,1.8238875601452456,0.9220797421220487,0.9925854431382315,0.7985664789739904,0.8300867612797278,0.8408976019431842,0.7486631016041929,0.8355456143314999,resolve,completed
18,2.049860493379298,1.585858168431482,1.9592639566249774,1.8772403970382776,1.8369996964250899,1.9010773265802103,0.8848440323467659,0.9752643972576726,0.7460437732887217,0.7731411139382572,0.7854642964557482,0.72688401924087,0.7632057107675779,0.0,-0.010025632660779715,-0.0360922775788068,-0.030076897982338997,0.0,-0.019495334030933398,-0.020989138459728496,0.0,0.0029866831506311087,0.0,0.010752059342272214,0.008960049451893512,0.0,0.004476856911279858,0.003864384486355288,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_07,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_07.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_07.json,1,18,2.049860493379298,1.5758325357707024,1.9592639566249774,1.8577450630073442,1.8160105579653614,1.9010773265802103,0.887830715497397,0.9752643972576726,0.7460437732887217,0.7776179708495371,0.7893286809421035,0.72688401924087,0.7632057107675779,swap_assignments,completed
18,2.271679725835092,1.552410220154757,2.1397420830443252,1.9262119107323508,1.8664968522795642,2.0410456803707127,0.9085337831497436,0.9857500362965993,0.7219529192937842,0.7920354744416074,0.8105940487939312,0.6895083236548284,0.7452278686542068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_08,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_08.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_08.json,0,18,2.271679725835092,1.552410220154757,2.1397420830443252,1.9262119107323508,1.8664968522795642,2.0410456803707127,0.9085337831497436,0.9857500362965993,0.7219529192937842,0.7920354744416074,0.8105940487939312,0.6895083236548284,0.7452278686542068,baseline,completed
18,1.887975608106246,1.5100691977360825,1.8011367948191266,1.7609924027055537,1.7427943063436884,1.7514956056537652,0.9163637180842438,0.9909493414927941,0.7609287222415695,0.7915304284976832,0.8019057589347408,0.68633378505158,0.8089020444682109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_09,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_09.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_09.json,0,18,1.887975608106246,1.5100691977360825,1.8011367948191266,1.7609924027055537,1.7427943063436884,1.7514956056537652,0.9163637180842438,0.9909493414927941,0.7609287222415695,0.7915304284976832,0.8019057589347408,0.68633378505158,0.8089020444682109,baseline,completed
