pair_id,modality,status,explore_replay_path_field,replay_path_resolved,replay_exists,result_json
shape_niceness_med_21,multimodal,completed,shape_niceness_med_21.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_21.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_21.json
shape_niceness_med_22,multimodal,completed,shape_niceness_med_22.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_22.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_22.json
shape_niceness_med_23,multimodal,completed,shape_niceness_med_23.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_23.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_23.json
shape_niceness_med_24,multimodal,completed,shape_niceness_med_24.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_24.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_24.json
shape_niceness_med_25,multimodal,completed,shape_niceness_med_25.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_25.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_25.json
shape_niceness_med_26,multimodal,completed,shape_niceness_med_26.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_26.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_26.json
shape_niceness_med_27,multimodal,completed,shape_niceness_med_27.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_27.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_27.json
shape_niceness_med_28,multimodal,completed,shape_niceness_med_28.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_28.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_28.json
shape_niceness_med_29,multimodal,completed,shape_niceness_med_29.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_29.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_29.json
shape_niceness_med_00,tools_only,completed,shape_niceness_med_00.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_00.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_00.json
shape_niceness_med_01,tools_only,completed,shape_niceness_med_01.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_01.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_01.json
shape_niceness_med_02,tools_only,completed,shape_niceness_med_02.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_02.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_02.json
shape_niceness_med_03,tools_only,completed,shape_niceness_med_03.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_03.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_03.json
shape_niceness_med_04,tools_only,completed,shape_niceness_med_04.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_04.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_04.json
shape_niceness_med_05,tools_only,completed,shape_niceness_med_05.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_05.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_05.json
shape_niceness_med_06,tools_only,completed,shape_niceness_med_06.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_06.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_06.json
shape_niceness_med_07,tools_only,completed,shape_niceness_med_07.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_07.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_07.json
shape_niceness_med_08,tools_only,completed,shape_niceness_med_08.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_08.explore_replay.pkl,True,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_tools_only_vague/shape_niceness_med_08.json
